timestep,hour,occupancy,outdoor_temp_c,zone_temp_c,energy_kwh
0,0.0,0,16.0,22.02,0.905
1,0.25,0,16.01,21.74,0.945
2,0.5,0,16.05,21.95,1.035
3,0.75,0,16.12,21.99,0.917
4,1.0,0,16.2,21.65,0.906
5,1.25,0,16.32,21.49,1.001
6,1.5,0,16.46,21.33,0.94
7,1.75,0,16.62,21.67,1.009
8,2.0,0,16.8,21.38,1.018
9,2.25,0,17.01,21.71,0.901
10,2.5,0,17.24,21.7,1.04
11,2.75,0,17.49,21.41,0.931
12,3.0,0,17.76,21.77,0.967
13,3.25,0,18.04,21.26,0.919
14,3.5,0,18.35,21.72,1.021
15,3.75,0,18.67,21.71,1.046
16,4.0,0,19.0,21.57,1.095
17,4.25,0,19.35,21.51,1.01
18,4.5,0,19.7,21.81,1.024
19,4.75,0,20.07,21.87,1.015
20,5.0,0,20.45,21.82,0.909
21,5.25,0,20.83,21.59,0.958
22,5.5,0,21.22,21.56,0.947
23,5.75,0,21.61,21.63,0.956
24,6.0,0,22.0,22.02,0.973
25,6.25,0,22.39,21.93,0.942
26,6.5,0,22.78,21.95,1.087
27,6.75,0,23.17,22.26,1.022
28,7.0,0,23.55,22.05,1.046
29,7.25,0,23.93,22.13,0.976
30,7.5,0,24.3,22.72,1.072
31,7.75,0,24.65,22.55,1.135
32,8.0,1,25.0,22.82,2.705
33,8.25,1,25.33,22.54,2.606
34,8.5,1,25.65,22.69,2.701
35,8.75,1,25.96,22.73,2.882
36,9.0,1,26.24,23.23,2.799
37,9.25,1,26.51,23.19,2.856
38,9.5,1,26.76,23.44,2.906
39,9.75,1,26.99,23.15,2.898
40,10.0,1,27.2,23.43,2.932
41,10.25,1,27.38,23.53,3.087
42,10.5,1,27.54,23.51,2.975
43,10.75,1,27.68,23.96,3.054
44,11.0,1,27.8,23.5,2.979
45,11.25,1,27.88,23.6,3.108
46,11.5,1,27.95,24.09,3.077
47,11.75,1,27.99,23.73,3.074
48,12.0,1,28.0,24.36,3.106
49,12.25,1,27.99,24.41,3.17
50,12.5,1,27.95,23.9,3.136
51,12.75,1,27.88,24.36,3.09
52,13.0,1,27.8,24.16,3.098
53,13.25,1,27.68,24.11,3.039
54,13.5,1,27.54,24.36,3.122
55,13.75,1,27.38,24.65,2.96
56,14.0,1,27.2,24.45,2.915
57,14.25,1,26.99,24.72,3.022
58,14.5,1,26.76,24.37,2.942
59,14.75,1,26.51,24.56,2.807
60,15.0,1,26.24,24.66,2.844
61,15.25,1,25.96,24.66,2.799
62,15.5,1,25.65,24.19,2.713
63,15.75,1,25.33,24.18,2.786
64,16.0,1,25.0,24.68,2.716
65,16.25,1,24.65,24.3,2.51
66,16.5,1,24.3,24.61,2.634
67,16.75,1,23.93,24.1,2.497
68,17.0,1,23.55,24.04,2.552
69,17.25,1,23.17,24.41,2.426
70,17.5,1,22.78,24.18,2.51
71,17.75,1,22.39,23.99,2.574
72,18.0,1,22.0,24.01,2.442
73,18.25,0,21.61,24.01,1.046
74,18.5,0,21.22,23.73,0.962
75,18.75,0,20.83,24.13,1.03
76,19.0,0,20.45,23.71,1.004
77,19.25,0,20.07,23.44,0.945
78,19.5,0,19.7,23.48,1.018
79,19.75,0,19.35,23.32,0.944
80,20.0,0,19.0,23.13,1.026
81,20.25,0,18.67,23.13,1.081
82,20.5,0,18.35,23.41,0.914
83,20.75,0,18.04,22.94,1.034
84,21.0,0,17.76,22.83,0.926
85,21.25,0,17.49,23.16,1.014
86,21.5,0,17.24,22.79,1.057
87,21.75,0,17.01,22.89,0.938
88,22.0,0,16.8,22.37,0.986
89,22.25,0,16.62,22.47,0.993
90,22.5,0,16.46,22.56,1.035
91,22.75,0,16.32,22.63,0.92
92,23.0,0,16.2,22.19,0.968
93,23.25,0,16.12,22.38,0.95
94,23.5,0,16.05,21.9,0.99
95,23.75,0,16.01,21.96,0.956
